X,Y,|u|,ux,uy,Status,elastic_strain_xx,elastic_strain_yy,elastic_strain_zz,elastic_strain_xy,plastic_strain_xx,plastic_strain_yy,plastic_strain_zz,plastic_strain_xy,Mises,Stress_xx,Stress_yy,Stress_zz,Stress_xy,strain_xx,strain_yy,strain_xy
1.4,0,0,-1.23E-37,-6.14E-37,0,2.22E-05,-0.00211711,0,0.00199309,0,0,0,0,31.6192,-17.8725,-42.5571,-18.1289,11.4986,2.22E-05,-0.00211711,1.99E-03
1.44,0,0,-1.16E-37,-6.02E-37,0,2.14E-05,-0.00209863,0,0.00203511,0,0,0,0,31.7175,-17.73,-42.1914,-17.9764,11.741,2.14E-05,-0.00209863,2.04E-03
1.48,0,0,-1.08E-37,-5.89E-37,0,2.05E-05,-0.00207947,0,0.0020753,0,0,0,0,31.8045,-17.5822,-41.8122,-17.8183,11.9729,2.05E-05,-0.00207947,2.08E-03
1.52,0,0,-1.01E-37,-5.77E-37,0,1.95E-05,-0.00205965,0,0.00211357,0,0,0,0,31.8795,-17.4293,-41.42,-17.6548,12.1937,1.95E-05,-0.00205965,2.11E-03
1.56,0,0,-9.36E-38,-5.65E-37,0,1.86E-05,-0.00203921,0,0.00214989,0,0,0,0,31.942,-17.2715,-41.0154,-17.4861,12.4032,1.86E-05,-0.00203921,2.15E-03
1.6,0,0,-8.64E-38,-5.53E-37,0,1.76E-05,-0.00201817,0,0.00218421,0,0,0,0,31.9915,-17.109,-40.5989,-17.3124,12.6012,1.76E-05,-0.00201817,2.18E-03
1.64,0,0,-7.95E-38,-5.40E-37,0,1.66E-05,-0.00199656,0,0.00221649,0,0,0,0,32.0277,-16.942,-40.1712,-17.1339,12.7874,1.66E-05,-0.00199656,2.22E-03
1.68,0,0,-7.27E-38,-5.28E-37,0,1.56E-05,-0.00197442,0,0.00224669,0,0,0,0,32.0501,-16.7707,-39.7329,-16.9511,12.9617,1.56E-05,-0.00197442,2.25E-03
1.72,0,0,-6.61E-38,-5.16E-37,0,1.46E-05,-0.00195179,0,0.00227479,0,0,0,0,32.0584,-16.5954,-39.2846,-16.764,13.1238,1.46E-05,-0.00195179,2.27E-03
1.76,0,0,-5.96E-38,-5.04E-37,0,1.36E-05,-0.00192869,0,0.00230077,0,0,0,0,32.0525,-16.4163,-38.8271,-16.573,13.2737,1.36E-05,-0.00192869,2.30E-03
